,RANK,TEAM,MATCHES,POINTS,RATING
0,1,India,30,"8,093",270
1,2,England,28,"7,432",265
2,3,Pakistan,30,"7,826",261
3,4,South Africa,25,"6,336",253
4,5,Australia,33,"8,270",251
5,6,New Zealand,28,"6,996",250
6,7,West Indies,36,"8,622",240
7,8,Bangladesh,33,"7,680",233
8,9,Sri Lanka,33,"7,606",230
9,10,Afghanistan,14,"3,167",226
10,11,UAE,21,"4,030",192
11,12,Zimbabwe,28,"5,278",189
12,13,Nepal,25,"4,624",185
13,14,Ireland,35,"6,439",184
14,15,Namibia,29,"5,321",183
15,16,Scotland,19,"3,475",183
16,17,Oman,19,"3,238",170
17,18,Netherlands,17,"2,841",167
18,19,Papua New Guinea,17,"2,575",151
19,20,Singapore,8,"1,194",149
20,21,Canada,17,"2,176",128
21,22,Jersey,15,"1,914",128
22,23,Qatar,13,"1,643",126
23,24,Hong Kong,10,"1,155",116
24,25,Uganda,26,"2,952",114
25,26,United States,11,"1,225",111
26,27,Bahrain,11,"1,153",105
27,28,Kuwait,10,"1,044",104
28,29,Italy,10,"1,015",102
29,30,Kenya,17,"1,694",100
30,31,Malaysia,18,"1,716",95
31,32,Saudi Arabia,6,562,94
32,33,Tanzania,10,895,90
33,34,Bermuda,12,"1,053",88
34,35,Germany,25,"2,124",85
35,36,Spain,12,"1,006",84
36,37,Romania,13,956,74
37,38,Guernsey,9,653,73
38,39,Denmark,13,901,69
39,40,Cayman Islands,8,529,66
40,41,Nigeria,23,"1,482",64
41,42,Botswana,8,502,63
42,43,Belgium,12,670,56
43,44,Vanuatu,5,270,54
44,45,Portugal,6,322,54
45,46,Sweden,7,373,53
46,47,Austria,10,528,53
47,48,Norway,12,632,53
48,49,Argentina,9,435,48
49,50,Malawi,9,408,45
50,51,Ghana,13,541,42
51,52,Finland,7,287,41
52,53,Luxembourg,12,481,40
53,54,Sierra Leone,10,331,33
54,55,Malta,20,610,31
55,56,Czech Republic,13,342,26
56,57,Cyprus,6,154,26
57,58,Bahamas,11,260,24
58,59,Belize,6,132,22
59,60,Panama,6,125,21
60,61,Rwanda,11,206,19
61,62,Greece,5,86,17
62,63,Thailand,4,59,15
63,64,Bulgaria,16,167,10
64,65,Seychelles,6,54,9
65,66,Maldives,9,51,6
66,67,Mozambique,7,38,5
67,68,Gibraltar,11,25,2
68,69,Estonia,6,0,0
69,70,Serbia,5,0,0
70,71,Lesotho,6,0,0
71,72,Eswatini,6,0,0
